TokenMint,ExitTime,SignalType,Confidence,ProfitPercentage,HoldTimeMinutes,WhalesSold,LiquidityChange,ExitPercentage,Reason
[object Object],2025-08-11T11:45:49.691Z,tiered_exit,high,514.10,0.3,0,0.0,25,"📈 TIER 1: Taking 25% at 514% gain (2x)"
[object Object],2025-08-11T11:45:51.202Z,tiered_exit,high,446.26,0.0,0,0.0,25,"📈 TIER 1: Taking 25% at 446% gain (2x)"
[object Object],2025-08-11T11:45:51.868Z,tiered_exit,high,535.44,0.0,0,0.0,25,"📈 TIER 2: Taking 25% at 535% gain (4x)"
[object Object],2025-08-11T11:45:53.013Z,tiered_exit,high,100.61,0.0,0,0.0,25,"📈 TIER 1: Taking 25% at 101% gain (2x)"
[object Object],2025-08-11T11:45:53.079Z,tiered_exit,high,323.82,0.0,0,0.0,25,"📈 TIER 1: Taking 25% at 324% gain (2x)"
[object Object],2025-08-11T11:45:53.990Z,tiered_exit,high,307.56,0.0,0,0.0,25,"📈 TIER 1: Taking 25% at 308% gain (2x)"
[object Object],2025-08-11T11:45:56.074Z,tiered_exit,high,294.84,0.0,0,0.0,25,"📈 TIER 1: Taking 25% at 295% gain (2x)"
[object Object],2025-08-11T11:45:56.626Z,tiered_exit,high,531.32,0.0,0,0.0,25,"📈 TIER 1: Taking 25% at 531% gain (2x)"
[object Object],2025-08-11T11:45:57.194Z,tiered_exit,high,319.82,0.0,0,0.0,25,"📈 TIER 2: Taking 25% at 320% gain (4x)"
[object Object],2025-08-11T11:45:57.463Z,tiered_exit,high,105.48,0.0,0,0.0,25,"📈 TIER 1: Taking 25% at 105% gain (2x)"
[object Object],2025-08-11T11:45:57.719Z,tiered_exit,high,524.69,0.0,0,0.0,25,"📈 TIER 2: Taking 25% at 525% gain (4x)"
[object Object],2025-08-11T11:45:57.750Z,tiered_exit,high,500.84,0.0,0,0.0,25,"📈 TIER 3: Taking 25% at 501% gain (6x)"
[object Object],2025-08-11T11:45:57.928Z,tiered_exit,high,892.58,0.0,0,0.0,25,"📈 TIER 1: Taking 25% at 893% gain (2x)"
