[object Object],TEST_TX_1754912719249,2025-08-11T11:45:19.250Z,pending,0,,,,,
3kJVDHKkrX3ktqhK9c98V8qgvytotPirKLWNoyZd2QcU,4MhK2LxH79L22GQGwofQfBZy36r7nFu5HCAb29Fr2uK5PLjxQPpTaJW5Tsf545J6GGogDov1ua15HTVP7vgnG5Cu,2025-08-14T16:40:46.481Z,pending,0,,,,,
3kJVDHKkrX3ktqhK9c98V8qgvytotPirKLWNoyZd2QcU,4MhK2LxH79L22GQGwofQfBZy36r7nFu5HCAb29Fr2uK5PLjxQPpTaJW5Tsf545J6GGogDov1ua15HTVP7vgnG5Cu,2025-08-14T16:40:46.481Z,pending,1,,,,2025-08-14T16:40:46.482Z,Stage 1 error: Liquidity data not yet available
4mp9NxyTj56rGqkppiGAicibnJxH8kQ5NMk8ays9pump,36NcF5PL3sG9dychP8Lta1AGZ7PGP6j2x6c4P58GF1rGhzmNN5zpLEqdss94SveNUBrXvvmsydjvoHcCApMFPJxe,2025-08-14T16:40:46.533Z,pending,0,,,,,
4mp9NxyTj56rGqkppiGAicibnJxH8kQ5NMk8ays9pump,36NcF5PL3sG9dychP8Lta1AGZ7PGP6j2x6c4P58GF1rGhzmNN5zpLEqdss94SveNUBrXvvmsydjvoHcCApMFPJxe,2025-08-14T16:40:46.533Z,rejected,1,2.035376210474599,,,2025-08-14T16:40:46.534Z,Mint/Freeze authorities not renounced
22D4yD2JVe6nhDiazNZD76rBPaiSeRwEM4JXbi92pump,4L1nkrBD69wsn75RMo2rYkiiMaCyUa2oLDyRRDa6HNQuKfzakruqkdM4is1CXqFyiSYaqGiNXaVP7VVvhtAvUuHs,2025-08-14T16:40:46.550Z,pending,0,,,,,
22D4yD2JVe6nhDiazNZD76rBPaiSeRwEM4JXbi92pump,4L1nkrBD69wsn75RMo2rYkiiMaCyUa2oLDyRRDa6HNQuKfzakruqkdM4is1CXqFyiSYaqGiNXaVP7VVvhtAvUuHs,2025-08-14T16:40:46.550Z,bought,1,2.3323801924376326,true,,2025-08-14T16:40:46.551Z,
4mp9NxyTj56rGqkppiGAicibnJxH8kQ5NMk8ays9pump,YxWKXGus5JCP4AYHKfH43xD8ZYUQV3fF7sbK7QQLYAhAtQvpvQtbVG9epmCekRs7QXc5YiRXWtf8yV5xg2u317y,2025-08-14T16:40:46.574Z,pending,0,,,,,
4mp9NxyTj56rGqkppiGAicibnJxH8kQ5NMk8ays9pump,YxWKXGus5JCP4AYHKfH43xD8ZYUQV3fF7sbK7QQLYAhAtQvpvQtbVG9epmCekRs7QXc5YiRXWtf8yV5xg2u317y,2025-08-14T16:40:46.574Z,rejected,1,7.904607633318079,,,2025-08-14T16:40:46.575Z,Mint/Freeze authorities not renounced
8dbyyXBmJH7znAkncLLdjhQCLXdW2jLyHKH5ZfPopump,45Zk1hdcMmZ7KL11PURJ8UWq78dtMpG7Fkc28h78oftoskFPiaPHjFDv75PCvvPPmmt2BqbFiHYc6kZGwxSYnJFZ,2025-08-14T16:40:46.597Z,pending,0,,,,,
8dbyyXBmJH7znAkncLLdjhQCLXdW2jLyHKH5ZfPopump,45Zk1hdcMmZ7KL11PURJ8UWq78dtMpG7Fkc28h78oftoskFPiaPHjFDv75PCvvPPmmt2BqbFiHYc6kZGwxSYnJFZ,2025-08-14T16:40:46.597Z,bought,1,2.896601799662138,true,,2025-08-14T16:40:46.597Z,
FaKSgqibygChD55D9x8YF5NYadBPog5J5mMz43kRpump,5DMBb8PD6fGNNFuTtMJu4zNkjZoLMU8yBcsTZRQPjhhzVLrejHsNMjE32nLj8CVNbnSDu1fRjtRfck7aaW1zVaCs,2025-08-14T16:40:46.626Z,pending,0,,,,,
