Date,Time,Type,Buy Amount,Buy Currency,Sell Amount,Sell Currency,Fee,Fee Currency,Exchange,Trade ID,Tx Hash
2025-09-16,00:59:09,BUY,15.13,USD,0,9BZMSR,0.00025,SOL,Jupiter,SOL-1,SIM_1758050021214_1
2025-09-16,00:59:10,BUY,15.13,USD,0,8CY12F,0.00025,SOL,Jupiter,SOL-2,SIM_1758050021214_2
2025-09-16,00:59:11,BUY,15.13,USD,0,HARA2W,0.00025,SOL,Jupiter,SOL-3,SIM_1758050021214_3
2025-09-16,00:59:11,BUY,15.13,USD,0,5KU1ZX,0.00025,SOL,Jupiter,SOL-4,SIM_1758050021214_4
2025-09-16,00:59:12,BUY,15.13,USD,0,9NRHYU,0.00025,SOL,Jupiter,SOL-5,SIM_1758050021214_5
2025-09-16,00:59:12,BUY,15.13,USD,0,JG9N1V,0.00025,SOL,Jupiter,SOL-6,SIM_1758050021214_6
2025-09-16,00:59:12,BUY,15.13,USD,0,CRHWAS,0.00025,SOL,Jupiter,SOL-7,SIM_1758050021215_7
2025-09-16,00:59:13,BUY,15.13,USD,0,9WQKDB,0.00025,SOL,Jupiter,SOL-8,SIM_1758050021215_8
2025-09-16,00:59:13,BUY,15.13,USD,0,39FDZ1,0.00025,SOL,Jupiter,SOL-9,SIM_1758050021215_9
2025-09-16,00:59:13,BUY,15.13,USD,0,J7GR7G,0.00025,SOL,Jupiter,SOL-10,SIM_1758050021215_10
2025-09-16,00:59:15,BUY,15.13,USD,0,HONJQX,0.00025,SOL,Jupiter,SOL-11,SIM_1758050021215_11
2025-09-16,00:59:39,SELL,0,9BZMSR,32.74,USD,0.00025,SOL,Jupiter,SOL-11,SIM_1758050021215_11
2025-09-16,00:59:40,SELL,0,8CY12F,99.42,USD,0.00025,SOL,Jupiter,SOL-11,SIM_1758050021215_11
2025-09-16,01:00:00,BUY,15.13,USD,0,APKG4R,0.00025,SOL,Jupiter,SOL-12,SIM_1758050021215_12
2025-09-16,01:00:00,BUY,15.13,USD,0,K7BMK8,0.00025,SOL,Jupiter,SOL-13,SIM_1758050021215_13
2025-09-16,01:00:00,BUY,15.13,USD,0,CY1DQG,0.00025,SOL,Jupiter,SOL-14,SIM_1758050021215_14
2025-09-16,01:00:01,BUY,15.13,USD,0,5IED57,0.00025,SOL,Jupiter,SOL-15,SIM_1758050021215_15
2025-09-16,01:00:01,BUY,15.13,USD,0,FMHZP4,0.00025,SOL,Jupiter,SOL-16,SIM_1758050021215_16
2025-09-16,01:00:01,BUY,15.13,USD,0,66E7AS,0.00025,SOL,Jupiter,SOL-17,SIM_1758050021215_17
2025-09-16,01:00:03,BUY,15.13,USD,0,CB8PDK,0.00025,SOL,Jupiter,SOL-18,SIM_1758050021215_18
2025-09-16,01:00:05,BUY,15.13,USD,0,5KPUGD,0.00025,SOL,Jupiter,SOL-19,SIM_1758050021215_19
2025-09-16,01:00:10,SELL,0,8CY12F,62.26,USD,0.00025,SOL,Jupiter,SOL-19,SIM_1758050021215_19
2025-09-16,01:00:12,SELL,0,CRHWAS,92.76,USD,0.00025,SOL,Jupiter,SOL-19,SIM_1758050021215_19
2025-09-16,01:00:15,SELL,0,HONJQX,54.64,USD,0.00025,SOL,Jupiter,SOL-19,SIM_1758050021215_19
2025-09-16,01:00:30,SELL,0,K7BMK8,96.86,USD,0.00025,SOL,Jupiter,SOL-19,SIM_1758050021215_19
2025-09-16,01:00:31,SELL,0,66E7AS,88.02,USD,0.00025,SOL,Jupiter,SOL-19,SIM_1758050021215_19
2025-09-16,01:01:00,SELL,0,APKG4R,31.69,USD,0.00025,SOL,Jupiter,SOL-19,SIM_1758050021215_19
2025-09-16,01:01:00,SELL,0,K7BMK8,158.16,USD,0.00025,SOL,Jupiter,SOL-19,SIM_1758050021215_19
2025-09-16,01:01:01,BUY,15.13,USD,0,9H5Y3W,0.00025,SOL,Jupiter,SOL-20,SIM_1758050021215_20
2025-09-16,01:01:01,BUY,15.13,USD,0,GDEQXP,0.00025,SOL,Jupiter,SOL-21,SIM_1758050021215_21
2025-09-16,01:01:03,SELL,0,CB8PDK,65.68,USD,0.00025,SOL,Jupiter,SOL-21,SIM_1758050021215_21
2025-09-16,01:01:03,BUY,15.13,USD,0,BZHSQZ,0.00025,SOL,Jupiter,SOL-22,SIM_1758050021215_22
2025-09-16,01:01:11,SELL,0,HARA2W,57.19,USD,0.00025,SOL,Jupiter,SOL-22,SIM_1758050021215_22
2025-09-16,01:01:12,SELL,0,CRHWAS,31.17,USD,0.00025,SOL,Jupiter,SOL-22,SIM_1758050021215_22
2025-09-16,01:01:13,SELL,0,9WQKDB,60.58,USD,0.00025,SOL,Jupiter,SOL-22,SIM_1758050021215_22
2025-09-16,01:01:13,SELL,0,39FDZ1,87.20,USD,0.00025,SOL,Jupiter,SOL-22,SIM_1758050021215_22
2025-09-16,01:01:15,SELL,0,HONJQX,29.61,USD,0.00025,SOL,Jupiter,SOL-22,SIM_1758050021215_22
2025-09-16,01:02:02,BUY,15.13,USD,0,DRMVWZ,0.00025,SOL,Jupiter,SOL-23,SIM_1758050021215_23
2025-09-16,01:02:02,BUY,15.13,USD,0,8TDZC7,0.00025,SOL,Jupiter,SOL-24,SIM_1758050021215_24
2025-09-16,01:02:02,BUY,15.13,USD,0,HGSEP5,0.00025,SOL,Jupiter,SOL-25,SIM_1758050021215_25
2025-09-16,01:02:02,BUY,15.13,USD,0,87KW9H,0.00025,SOL,Jupiter,SOL-26,SIM_1758050021215_26
2025-09-16,01:02:02,BUY,15.13,USD,0,DL9SZF,0.00025,SOL,Jupiter,SOL-27,SIM_1758050021215_27
2025-09-16,01:02:03,BUY,15.13,USD,0,B8HOTU,0.00025,SOL,Jupiter,SOL-28,SIM_1758050021215_28
2025-09-16,01:02:03,SELL,0,BZHSQZ,58.53,USD,0.00025,SOL,Jupiter,SOL-28,SIM_1758050021215_28
2025-09-16,01:02:10,SELL,0,8CY12F,93.95,USD,0.00025,SOL,Jupiter,SOL-28,SIM_1758050021215_28
2025-09-16,01:02:11,SELL,0,5KU1ZX,60.25,USD,0.00025,SOL,Jupiter,SOL-28,SIM_1758050021215_28
2025-09-16,01:02:12,SELL,0,CRHWAS,16.41,USD,0.00025,SOL,Jupiter,SOL-28,SIM_1758050021215_28
2025-09-16,01:02:32,SELL,0,DL9SZF,55.92,USD,0.00025,SOL,Jupiter,SOL-28,SIM_1758050021215_28
2025-09-16,01:02:36,BUY,15.13,USD,0,FB2UHF,0.00025,SOL,Jupiter,SOL-29,SIM_1758050021215_29
2025-09-16,01:02:38,BUY,15.13,USD,0,GYUTJW,0.00025,SOL,Jupiter,SOL-30,SIM_1758050021215_30
2025-09-16,01:03:00,BUY,15.13,USD,0,6NR8WB,0.00025,SOL,Jupiter,SOL-31,SIM_1758050021215_31
2025-09-16,01:03:00,BUY,15.13,USD,0,CK5VAB,0.00025,SOL,Jupiter,SOL-32,SIM_1758050021215_32
2025-09-16,01:03:00,BUY,15.13,USD,0,7PNQG1,0.00025,SOL,Jupiter,SOL-33,SIM_1758050021215_33
2025-09-16,01:03:01,SELL,0,5IED57,93.29,USD,0.00025,SOL,Jupiter,SOL-33,SIM_1758050021215_33
2025-09-16,01:03:02,BUY,15.13,USD,0,G9LBBJ,0.00025,SOL,Jupiter,SOL-34,SIM_1758050021215_34
2025-09-16,01:03:03,SELL,0,CB8PDK,88.00,USD,0.00025,SOL,Jupiter,SOL-34,SIM_1758050021215_34
2025-09-16,01:03:03,SELL,0,BZHSQZ,99.76,USD,0.00025,SOL,Jupiter,SOL-34,SIM_1758050021215_34
2025-09-16,01:03:36,SELL,0,FB2UHF,61.93,USD,0.00025,SOL,Jupiter,SOL-34,SIM_1758050021215_34
2025-09-16,01:04:00,BUY,15.13,USD,0,H76CII,0.00025,SOL,Jupiter,SOL-35,SIM_1758050021215_35
2025-09-16,01:04:00,BUY,15.13,USD,0,GIDFMM,0.00025,SOL,Jupiter,SOL-36,SIM_1758050021215_36
2025-09-16,01:04:01,BUY,15.13,USD,0,AVHLIB,0.00025,SOL,Jupiter,SOL-37,SIM_1758050021215_37
2025-09-16,01:04:01,BUY,15.13,USD,0,6HUTWF,0.00025,SOL,Jupiter,SOL-38,SIM_1758050021215_38
2025-09-16,01:04:02,SELL,0,DRMVWZ,99.16,USD,0.00025,SOL,Jupiter,SOL-38,SIM_1758050021215_38
2025-09-16,01:04:02,SELL,0,8TDZC7,157.47,USD,0.00025,SOL,Jupiter,SOL-38,SIM_1758050021215_38
2025-09-16,01:04:03,BUY,15.13,USD,0,H5CXRG,0.00025,SOL,Jupiter,SOL-39,SIM_1758050021215_39
2025-09-16,01:04:03,BUY,15.13,USD,0,DGB2DC,0.00025,SOL,Jupiter,SOL-40,SIM_1758050021215_40
