Date,Time,Type,Buy Amount,Buy Currency,Sell Amount,Sell Currency,Fee,Fee Currency,Exchange,Trade ID,Tx Hash
2025-09-11,18:24:40,BUY,34.00,USD,0,ADAZYB,0.00025,SOL,Jupiter,SOL-1,SIM_1757875434485_1
2025-09-11,18:24:41,BUY,34.00,USD,0,58TZJM,0.00025,SOL,Jupiter,SOL-2,SIM_1757875434485_2
2025-09-11,18:24:41,BUY,34.00,USD,0,5GKY3W,0.00025,SOL,Jupiter,SOL-3,SIM_1757875434485_3
2025-09-11,18:24:42,BUY,34.00,USD,0,CFTZGD,0.00025,SOL,Jupiter,SOL-4,SIM_1757875434485_4
2025-09-11,18:24:42,BUY,34.00,USD,0,8HOF81,0.00025,SOL,Jupiter,SOL-5,SIM_1757875434485_5
2025-09-11,18:24:43,BUY,34.00,USD,0,F95EK6,0.00025,SOL,Jupiter,SOL-6,SIM_1757875434485_6
2025-09-11,18:24:44,BUY,34.00,USD,0,BY6GWW,0.00025,SOL,Jupiter,SOL-7,SIM_1757875434486_7
2025-09-11,18:24:46,BUY,34.00,USD,0,8TIZUF,0.00025,SOL,Jupiter,SOL-8,SIM_1757875434486_8
2025-09-11,18:24:46,BUY,34.00,USD,0,7425ID,0.00025,SOL,Jupiter,SOL-9,SIM_1757875434486_9
2025-09-11,18:24:48,BUY,34.00,USD,0,6U7GRP,0.00025,SOL,Jupiter,SOL-10,SIM_1757875434486_10
2025-09-11,18:25:00,BUY,34.00,USD,0,4PUGUD,0.00025,SOL,Jupiter,SOL-11,SIM_1757875434486_11
2025-09-11,18:25:00,BUY,34.00,USD,0,FJHB4Y,0.00025,SOL,Jupiter,SOL-12,SIM_1757875434486_12
2025-09-11,18:25:02,BUY,34.00,USD,0,4HVPBV,0.00025,SOL,Jupiter,SOL-13,SIM_1757875434486_13
2025-09-11,18:25:03,BUY,34.00,USD,0,3MREDV,0.00025,SOL,Jupiter,SOL-14,SIM_1757875434486_14
2025-09-11,18:25:04,BUY,34.00,USD,0,ACBWFQ,0.00025,SOL,Jupiter,SOL-15,SIM_1757875434486_15
2025-09-11,18:25:16,SELL,0,8TIZUF,111.40,USD,0.00025,SOL,Jupiter,SOL-15,SIM_1757875434486_15
2025-09-11,18:25:37,BUY,34.00,USD,0,2RK4RZ,0.00025,SOL,Jupiter,SOL-16,SIM_1757875434486_16
2025-09-11,18:25:44,SELL,0,BY6GWW,62.62,USD,0.00025,SOL,Jupiter,SOL-16,SIM_1757875434486_16
2025-09-11,18:26:00,BUY,34.00,USD,0,CN9QVQ,0.00025,SOL,Jupiter,SOL-17,SIM_1757875434486_17
2025-09-11,18:26:00,BUY,34.00,USD,0,DAGGQZ,0.00025,SOL,Jupiter,SOL-18,SIM_1757875434486_18
2025-09-11,18:26:02,SELL,0,4HVPBV,44.00,USD,0.00025,SOL,Jupiter,SOL-18,SIM_1757875434486_18
2025-09-11,18:26:06,BUY,34.00,USD,0,BECGFG,0.00025,SOL,Jupiter,SOL-19,SIM_1757875434486_19
2025-09-11,18:26:30,SELL,0,CN9QVQ,78.66,USD,0.00025,SOL,Jupiter,SOL-19,SIM_1757875434486_19
2025-09-11,18:26:37,SELL,0,2RK4RZ,57.60,USD,0.00025,SOL,Jupiter,SOL-19,SIM_1757875434486_19
2025-09-11,18:26:40,SELL,0,ADAZYB,57.26,USD,0.00025,SOL,Jupiter,SOL-19,SIM_1757875434486_19
2025-09-11,18:26:41,SELL,0,58TZJM,76.07,USD,0.00025,SOL,Jupiter,SOL-19,SIM_1757875434486_19
2025-09-11,18:26:46,SELL,0,8TIZUF,79.66,USD,0.00025,SOL,Jupiter,SOL-19,SIM_1757875434486_19
2025-09-11,18:26:46,SELL,0,7425ID,77.89,USD,0.00025,SOL,Jupiter,SOL-19,SIM_1757875434486_19
2025-09-11,18:26:48,SELL,0,6U7GRP,74.55,USD,0.00025,SOL,Jupiter,SOL-19,SIM_1757875434486_19
2025-09-11,18:27:00,BUY,34.00,USD,0,9T3ASO,0.00025,SOL,Jupiter,SOL-20,SIM_1757875434486_20
2025-09-11,18:27:00,BUY,34.00,USD,0,HVFPAK,0.00025,SOL,Jupiter,SOL-21,SIM_1757875434486_21
2025-09-11,18:27:00,SELL,0,4PUGUD,102.59,USD,0.00025,SOL,Jupiter,SOL-21,SIM_1757875434486_21
2025-09-11,18:27:00,SELL,0,FJHB4Y,209.09,USD,0.00025,SOL,Jupiter,SOL-21,SIM_1757875434486_21
2025-09-11,18:27:00,BUY,34.00,USD,0,F4EL5Y,0.00025,SOL,Jupiter,SOL-22,SIM_1757875434486_22
2025-09-11,18:27:04,SELL,0,ACBWFQ,38.78,USD,0.00025,SOL,Jupiter,SOL-22,SIM_1757875434486_22
2025-09-11,18:27:41,SELL,0,5GKY3W,70.14,USD,0.00025,SOL,Jupiter,SOL-22,SIM_1757875434486_22
2025-09-11,18:27:46,SELL,0,7425ID,73.10,USD,0.00025,SOL,Jupiter,SOL-22,SIM_1757875434486_22
2025-09-11,18:28:00,BUY,34.00,USD,0,AJIFLC,0.00025,SOL,Jupiter,SOL-23,SIM_1757875434486_23
2025-09-11,18:28:01,BUY,34.00,USD,0,BVKVJ8,0.00025,SOL,Jupiter,SOL-24,SIM_1757875434486_24
2025-09-11,18:28:01,BUY,34.00,USD,0,O7F3P7,0.00025,SOL,Jupiter,SOL-25,SIM_1757875434486_25
2025-09-11,18:28:01,BUY,34.00,USD,0,743Q9P,0.00025,SOL,Jupiter,SOL-26,SIM_1757875434486_26
2025-09-11,18:28:03,BUY,34.00,USD,0,B7TC7S,0.00025,SOL,Jupiter,SOL-27,SIM_1757875434486_27
2025-09-11,18:29:00,SELL,0,9T3ASO,61.75,USD,0.00025,SOL,Jupiter,SOL-27,SIM_1757875434486_27
2025-09-11,18:29:00,BUY,34.00,USD,0,EESPB7,0.00025,SOL,Jupiter,SOL-28,SIM_1757875434486_28
2025-09-11,18:29:00,SELL,0,AJIFLC,76.30,USD,0.00025,SOL,Jupiter,SOL-28,SIM_1757875434486_28
2025-09-11,18:29:00,BUY,34.00,USD,0,3EAEXS,0.00025,SOL,Jupiter,SOL-29,SIM_1757875434486_29
2025-09-11,18:29:00,SELL,0,CN9QVQ,79.43,USD,0.00025,SOL,Jupiter,SOL-29,SIM_1757875434486_29
2025-09-11,18:29:01,SELL,0,O7F3P7,42.85,USD,0.00025,SOL,Jupiter,SOL-29,SIM_1757875434486_29
2025-09-11,18:29:01,SELL,0,743Q9P,57.21,USD,0.00025,SOL,Jupiter,SOL-29,SIM_1757875434486_29
2025-09-11,18:29:03,BUY,34.00,USD,0,CY3FSD,0.00025,SOL,Jupiter,SOL-30,SIM_1757875434486_30
2025-09-11,18:29:03,SELL,0,B7TC7S,59.98,USD,0.00025,SOL,Jupiter,SOL-30,SIM_1757875434486_30
2025-09-11,18:29:06,SELL,0,BECGFG,72.91,USD,0.00025,SOL,Jupiter,SOL-30,SIM_1757875434486_30
2025-09-11,18:29:30,SELL,0,EESPB7,75.53,USD,0.00025,SOL,Jupiter,SOL-30,SIM_1757875434486_30
2025-09-11,18:29:30,SELL,0,3EAEXS,60.82,USD,0.00025,SOL,Jupiter,SOL-30,SIM_1757875434486_30
2025-09-11,18:29:33,SELL,0,CY3FSD,62.43,USD,0.00025,SOL,Jupiter,SOL-30,SIM_1757875434486_30
2025-09-11,18:29:41,SELL,0,58TZJM,81.01,USD,0.00025,SOL,Jupiter,SOL-30,SIM_1757875434486_30
2025-09-11,18:29:46,SELL,0,8TIZUF,39.47,USD,0.00025,SOL,Jupiter,SOL-30,SIM_1757875434486_30
2025-09-11,18:30:00,SELL,0,9T3ASO,73.12,USD,0.00025,SOL,Jupiter,SOL-30,SIM_1757875434486_30
2025-09-11,18:30:00,BUY,34.00,USD,0,8VF8RV,0.00025,SOL,Jupiter,SOL-31,SIM_1757875434486_31
2025-09-11,18:30:00,BUY,34.00,USD,0,JK6RVW,0.00025,SOL,Jupiter,SOL-32,SIM_1757875434486_32
2025-09-11,18:30:00,BUY,34.00,USD,0,9S2ATP,0.00025,SOL,Jupiter,SOL-33,SIM_1757875434486_33
2025-09-11,18:30:01,BUY,34.00,USD,0,6JSKY7,0.00025,SOL,Jupiter,SOL-34,SIM_1757875434486_34
2025-09-11,18:30:01,SELL,0,O7F3P7,61.91,USD,0.00025,SOL,Jupiter,SOL-34,SIM_1757875434486_34
2025-09-11,18:30:04,BUY,34.00,USD,0,CUTVSI,0.00025,SOL,Jupiter,SOL-35,SIM_1757875434486_35
2025-09-11,18:30:30,SELL,0,8VF8RV,113.82,USD,0.00025,SOL,Jupiter,SOL-35,SIM_1757875434486_35
2025-09-11,18:30:31,SELL,0,6JSKY7,43.26,USD,0.00025,SOL,Jupiter,SOL-35,SIM_1757875434486_35
2025-09-11,18:30:37,BUY,34.00,USD,0,6UKET1,0.00025,SOL,Jupiter,SOL-36,SIM_1757875434486_36
2025-09-11,18:31:01,SELL,0,BVKVJ8,57.64,USD,0.00025,SOL,Jupiter,SOL-36,SIM_1757875434486_36
2025-09-11,18:31:04,BUY,34.00,USD,0,HT5KAT,0.00025,SOL,Jupiter,SOL-37,SIM_1757875434486_37
2025-09-11,18:31:04,BUY,34.00,USD,0,DN8JPN,0.00025,SOL,Jupiter,SOL-38,SIM_1757875434486_38
2025-09-11,18:31:05,BUY,34.00,USD,0,HZT8CH,0.00025,SOL,Jupiter,SOL-39,SIM_1757875434486_39
2025-09-11,18:31:05,BUY,34.00,USD,0,HOXN88,0.00025,SOL,Jupiter,SOL-40,SIM_1757875434486_40
2025-09-11,18:31:07,SELL,0,6UKET1,43.69,USD,0.00025,SOL,Jupiter,SOL-40,SIM_1757875434486_40
2025-09-11,18:31:35,SELL,0,HOXN88,57.75,USD,0.00025,SOL,Jupiter,SOL-40,SIM_1757875434486_40
2025-09-11,18:32:00,BUY,34.00,USD,0,CUJWH3,0.00025,SOL,Jupiter,SOL-41,SIM_1757875434486_41
2025-09-11,18:32:00,BUY,34.00,USD,0,EU5LLD,0.00025,SOL,Jupiter,SOL-42,SIM_1757875434486_42
2025-09-11,18:32:02,BUY,34.00,USD,0,E72UAC,0.00025,SOL,Jupiter,SOL-43,SIM_1757875434486_43
2025-09-11,18:32:05,SELL,0,HZT8CH,71.67,USD,0.00025,SOL,Jupiter,SOL-43,SIM_1757875434486_43
2025-09-11,18:33:00,SELL,0,EU5LLD,42.64,USD,0.00025,SOL,Jupiter,SOL-43,SIM_1757875434486_43
2025-09-11,18:33:00,BUY,34.00,USD,0,5RPBGE,0.00025,SOL,Jupiter,SOL-44,SIM_1757875434486_44
2025-09-11,18:33:00,BUY,34.00,USD,0,TU4DHX,0.00025,SOL,Jupiter,SOL-45,SIM_1757875434486_45
2025-09-11,18:33:00,BUY,34.00,USD,0,LAVWBE,0.00025,SOL,Jupiter,SOL-46,SIM_1757875434486_46
2025-09-11,18:33:01,BUY,34.00,USD,0,S5WINZ,0.00025,SOL,Jupiter,SOL-47,SIM_1757875434486_47
2025-09-11,18:33:01,SELL,0,6JSKY7,61.93,USD,0.00025,SOL,Jupiter,SOL-47,SIM_1757875434486_47
2025-09-11,18:33:04,SELL,0,HT5KAT,61.35,USD,0.00025,SOL,Jupiter,SOL-47,SIM_1757875434486_47
2025-09-11,18:33:38,BUY,34.00,USD,0,AKMROF,0.00025,SOL,Jupiter,SOL-48,SIM_1757875434486_48
2025-09-11,18:34:00,BUY,34.00,USD,0,HTPEY6,0.00025,SOL,Jupiter,SOL-49,SIM_1757875434486_49
2025-09-11,18:34:01,BUY,34.00,USD,0,EAMFQV,0.00025,SOL,Jupiter,SOL-50,SIM_1757875434486_50
2025-09-11,18:34:01,BUY,34.00,USD,0,7SNXWB,0.00025,SOL,Jupiter,SOL-51,SIM_1757875434486_51
2025-09-11,18:34:03,SELL,0,CY3FSD,244.52,USD,0.00025,SOL,Jupiter,SOL-51,SIM_1757875434486_51
2025-09-11,18:34:03,BUY,34.00,USD,0,N8CRHP,0.00025,SOL,Jupiter,SOL-52,SIM_1757875434487_52
2025-09-11,18:34:04,SELL,0,DN8JPN,60.44,USD,0.00025,SOL,Jupiter,SOL-52,SIM_1757875434487_52
2025-09-11,18:34:04,BUY,34.00,USD,0,BVNGEV,0.00025,SOL,Jupiter,SOL-53,SIM_1757875434487_53
2025-09-11,18:34:04,BUY,34.00,USD,0,J8FTY3,0.00025,SOL,Jupiter,SOL-54,SIM_1757875434487_54
2025-09-11,18:34:04,BUY,34.00,USD,0,H3PLPJ,0.00025,SOL,Jupiter,SOL-55,SIM_1757875434487_55
2025-09-11,18:34:05,BUY,34.00,USD,0,GHWJWE,0.00025,SOL,Jupiter,SOL-56,SIM_1757875434487_56
2025-09-11,18:34:05,SELL,0,HOXN88,115.50,USD,0.00025,SOL,Jupiter,SOL-56,SIM_1757875434487_56
2025-09-11,18:34:07,BUY,34.00,USD,0,9DF1HJ,0.00025,SOL,Jupiter,SOL-57,SIM_1757875434487_57
2025-09-11,18:34:08,BUY,34.00,USD,0,3ADJCE,0.00025,SOL,Jupiter,SOL-58,SIM_1757875434487_58
2025-09-11,18:34:31,SELL,0,7SNXWB,56.64,USD,0.00025,SOL,Jupiter,SOL-58,SIM_1757875434487_58
2025-09-11,18:34:37,SELL,0,9DF1HJ,44.18,USD,0.00025,SOL,Jupiter,SOL-58,SIM_1757875434487_58
2025-09-11,18:34:37,BUY,34.00,USD,0,6VY5X2,0.00025,SOL,Jupiter,SOL-59,SIM_1757875434487_59
2025-09-11,18:34:42,SELL,0,CFTZGD,43.87,USD,0.00025,SOL,Jupiter,SOL-59,SIM_1757875434487_59
2025-09-11,18:34:43,SELL,0,F95EK6,59.19,USD,0.00025,SOL,Jupiter,SOL-59,SIM_1757875434487_59
2025-09-11,18:35:00,SELL,0,8VF8RV,109.19,USD,0.00025,SOL,Jupiter,SOL-59,SIM_1757875434487_59
2025-09-11,18:35:00,SELL,0,5RPBGE,105.26,USD,0.00025,SOL,Jupiter,SOL-59,SIM_1757875434487_59
2025-09-11,18:35:00,BUY,34.00,USD,0,9TVB3K,0.00025,SOL,Jupiter,SOL-60,SIM_1757875434487_60
2025-09-11,18:35:00,BUY,34.00,USD,0,EGGXPJ,0.00025,SOL,Jupiter,SOL-61,SIM_1757875434487_61
2025-09-11,18:35:00,BUY,34.00,USD,0,9SQJZ7,0.00025,SOL,Jupiter,SOL-62,SIM_1757875434487_62
2025-09-11,18:35:01,BUY,34.00,USD,0,DLOQXA,0.00025,SOL,Jupiter,SOL-63,SIM_1757875434487_63
2025-09-11,18:35:01,SELL,0,EAMFQV,77.02,USD,0.00025,SOL,Jupiter,SOL-63,SIM_1757875434487_63
2025-09-11,18:35:02,BUY,34.00,USD,0,AISCGY,0.00025,SOL,Jupiter,SOL-64,SIM_1757875434487_64
2025-09-11,18:35:02,SELL,0,E72UAC,102.41,USD,0.00025,SOL,Jupiter,SOL-64,SIM_1757875434487_64
2025-09-11,18:35:03,SELL,0,N8CRHP,71.77,USD,0.00025,SOL,Jupiter,SOL-64,SIM_1757875434487_64
2025-09-11,18:35:04,SELL,0,CUTVSI,73.64,USD,0.00025,SOL,Jupiter,SOL-64,SIM_1757875434487_64
2025-09-11,18:35:04,SELL,0,J8FTY3,56.41,USD,0.00025,SOL,Jupiter,SOL-64,SIM_1757875434487_64
2025-09-11,18:35:05,SELL,0,GHWJWE,77.30,USD,0.00025,SOL,Jupiter,SOL-64,SIM_1757875434487_64
2025-09-11,18:35:05,BUY,34.00,USD,0,CUUJPT,0.00025,SOL,Jupiter,SOL-65,SIM_1757875434487_65
2025-09-11,18:35:05,BUY,34.00,USD,0,95FC6Y,0.00025,SOL,Jupiter,SOL-66,SIM_1757875434487_66
2025-09-11,18:35:08,SELL,0,3ADJCE,76.17,USD,0.00025,SOL,Jupiter,SOL-66,SIM_1757875434487_66
2025-09-11,18:35:30,SELL,0,9SQJZ7,57.25,USD,0.00025,SOL,Jupiter,SOL-66,SIM_1757875434487_66
2025-09-11,18:35:35,SELL,0,CUUJPT,107.40,USD,0.00025,SOL,Jupiter,SOL-66,SIM_1757875434487_66
2025-09-11,18:35:37,SELL,0,2RK4RZ,115.68,USD,0.00025,SOL,Jupiter,SOL-66,SIM_1757875434487_66
2025-09-11,18:35:37,SELL,0,6UKET1,74.07,USD,0.00025,SOL,Jupiter,SOL-66,SIM_1757875434487_66
2025-09-11,18:35:37,BUY,34.00,USD,0,9SSBVD,0.00025,SOL,Jupiter,SOL-67,SIM_1757875434487_67
2025-09-11,18:36:00,SELL,0,TU4DHX,122.47,USD,0.00025,SOL,Jupiter,SOL-67,SIM_1757875434487_67
2025-09-11,18:36:01,SELL,0,EAMFQV,60.15,USD,0.00025,SOL,Jupiter,SOL-67,SIM_1757875434487_67
2025-09-11,18:36:01,SELL,0,7SNXWB,58.78,USD,0.00025,SOL,Jupiter,SOL-67,SIM_1757875434487_67
2025-09-11,18:36:02,BUY,34.00,USD,0,8PABGX,0.00025,SOL,Jupiter,SOL-68,SIM_1757875434487_68
2025-09-11,18:36:02,BUY,34.00,USD,0,B7LDTD,0.00025,SOL,Jupiter,SOL-69,SIM_1757875434487_69
2025-09-11,18:36:04,BUY,34.00,USD,0,A1WJJI,0.00025,SOL,Jupiter,SOL-70,SIM_1757875434487_70
2025-09-11,18:36:04,SELL,0,H3PLPJ,148.25,USD,0.00025,SOL,Jupiter,SOL-70,SIM_1757875434487_70
2025-09-11,18:36:05,BUY,34.00,USD,0,EG1UQR,0.00025,SOL,Jupiter,SOL-71,SIM_1757875434487_71
2025-09-11,18:36:34,SELL,0,A1WJJI,60.16,USD,0.00025,SOL,Jupiter,SOL-71,SIM_1757875434487_71
2025-09-11,18:36:35,SELL,0,EG1UQR,44.17,USD,0.00025,SOL,Jupiter,SOL-71,SIM_1757875434487_71
2025-09-11,18:36:38,SELL,0,AKMROF,57.42,USD,0.00025,SOL,Jupiter,SOL-71,SIM_1757875434487_71
2025-09-11,18:37:00,BUY,34.00,USD,0,FNCQFL,0.00025,SOL,Jupiter,SOL-72,SIM_1757875434487_72
2025-09-11,18:37:01,BUY,34.00,USD,0,HZWQBK,0.00025,SOL,Jupiter,SOL-73,SIM_1757875434487_73
2025-09-11,18:37:02,SELL,0,8PABGX,81.50,USD,0.00025,SOL,Jupiter,SOL-73,SIM_1757875434487_73
2025-09-11,18:37:02,SELL,0,E72UAC,111.90,USD,0.00025,SOL,Jupiter,SOL-73,SIM_1757875434487_73
2025-09-11,18:37:02,BUY,34.00,USD,0,2DMZTM,0.00025,SOL,Jupiter,SOL-74,SIM_1757875434487_74
