TokenMint,ExitTime,SignalType,Confidence,ProfitPercentage,HoldTimeMinutes,WhalesSold,LiquidityChange,ExitPercentage,Reason
XPPocoFnVzMeCEzcJt1gxdLTAGLcZCpjmB3gJNbpump,2025-09-24T17:50:34.166Z,tiered_exit,high,109.65,0.5,0,0.0,100,"Standard take profit"
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2025-09-24T17:51:05.347Z,tiered_exit,high,107.31,1.0,0,0.0,100,"Standard take profit"
FZN7QZ8ZUUAxMPfxYEYkH3cXUASzH8EqA6B4tyCL8f1j,2025-09-24T17:51:31.232Z,tiered_exit,high,510.26,0.5,0,0.0,100,"Standard take profit"
42EtomymzVMEzcTzq1wX2xvXVMAWsFNVkXs1mv1vpump,2025-09-24T17:52:34.052Z,tiered_exit,high,330.24,0.5,0,0.0,100,"Standard take profit"
Cg1Bg62JGkvdWEwzLwDqUto5nXyMtaBrtpFDh9EXpump,2025-09-24T17:53:03.803Z,tiered_exit,high,102.26,1.0,0,0.0,100,"Standard take profit"
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2025-09-24T17:53:05.339Z,tiered_exit,high,292.82,3.0,0,0.0,100,"Standard take profit"
F5vKDTT4hLy5EmYk1ixtQj2NE8mJHYoc55o8JoNVpump,2025-09-24T17:53:06.911Z,tiered_exit,high,106.30,1.0,0,0.0,100,"Standard take profit"
4dX1F6e45AM6hKZLD6ubdrYDztqffq7rvHE5ShRBwgSH,2025-09-24T17:53:31.255Z,tiered_exit,high,810.23,0.5,0,0.0,100,"Standard take profit"
6fzJ8jRqd6jLF4wmGeHocwiBw8ajH9eJ6rqqAcb4pump,2025-09-24T17:54:00.532Z,tiered_exit,high,521.07,0.5,0,0.0,100,"Standard take profit"
GbApGDUhxJ4LR3oHbWyFCJdcqmvBrBobiRbHx7ThSvoW,2025-09-24T17:54:06.730Z,tiered_exit,high,118.18,1.0,0,0.0,100,"Standard take profit"
8hfqq1gXAmhgK5XWDBkhkWELePNKuHUf6Ab8FLmvpump,2025-09-24T17:54:30.315Z,tiered_exit,high,113.03,0.5,0,0.0,100,"Standard take profit"
6Y9L6yx4KmosYV8xjgqHXnFbZCoXyJoWk1T6YVofpump,2025-09-24T17:54:31.408Z,tiered_exit,high,100.02,0.5,0,0.0,100,"Standard take profit"
B7NPUGvxC8BUF5a8BdxurBNxCjV3HwyN6DaRivtqNAjB,2025-09-24T17:55:00.106Z,tiered_exit,high,284.61,2.0,0,0.0,100,"Standard take profit"
